Name,Province,Municipality,Latitude,Longitude,Budget level,Entrance Fee,Pricing Type,Fee Operational Notes,Transportation Fares,Estimated Cost,Recommended Minutes ,Tag 1,Tag 2,Tag 3
Aguinaldo Shrine,Cavite,Kawit,14.445835,120.906265,Economy,₱0.00,Free,Free entry; voluntary donations welcome.,,,,historical,photography,cultural
Alibijaban Island,Quezon,San Andres,13.333229,122.720961,Economy,₱100.00,Permit / Conservation Fee,Standard port fee; excludes boat charters.,,,,beach,nature,camping
Anawangin Cove,Zambales,San Antonio,14.884332,120.069323,Economy,₱100.00,Tiered / Variable,₱100 standard day pass; overnight camping is ₱150.,,,,beach,camping,water-activities
Anilao ,Batangas,Mabini,13.904770,121.173904,Mid-range,₱50.00,Permit / Conservation Fee,Private resorts charge separate day-tour access fees.,,,,beach,adventure,water-activities
Anilao Labac,Batangas,Lipa,13.904800,121.174100,Economy,₱0.00,Free,Commercial parks or restaurants charge separate entry fees.,,,,nature,countryside,relaxation
Apo Reef Natural Park,Occidental Mindoro,Sablayan,12.657648,120.417213,Premium,₱350.00,Permit / Conservation Fee,₱350 for locals; ₱500 for foreigners.,,,,nature,adventure,water-activities
Baguio Botanical Garden,Benguet,Baguio City,16.415211,120.612897,Economy,₱40.00,Fixed Rate,Standard adult fee; child discounts at gate.,,,,nature,city,family-friendly
Baler Hanging Bridge,Aurora,Baler,15.750407,121.569081,Economy,₱20.00,Fixed Rate,Local structural preservation fee.,,,,adventure,countryside,photography
Baler Lighthouse,Aurora,Baler,15.752726,121.630385,Economy,₱20.00,Fixed Rate,Local community checkpoint fee.,,,,historical,countryside,photography
Banaue Rice Terraces,Ifugao,Banaue,16.931953,121.057572,Economy,₱50.00,Permit / Conservation Fee, Fee collected at the town center/triage area upon entry.,,,,mountain,nature,cultural
Bangui Wind Farm,Ilocos Norte,Bangui,18.528571,120.718110,Economy,₱0.00,Free,Open public shoreline; no gate fees.,,,,nature,budget-friendly,photography
Bantay Abot Cave,Ilocos Norte,Pagudpud,18.614731,120.869478,Economy,₱0.00,Free,Free entry; optional ₱20 parking fee.,,,,nature,adventure,photography
Batad Rice Terraces,Ifugao,Banaue,16.934546,121.136334,Economy,₱50.00,Permit / Conservation Fee,Local community heritage checkpoint user fee.,,,,mountain,cultural,adventure
BenCab Museum,Benguet,Tuba,16.410716,120.550413,Mid-range,₱200.00,Tiered / Variable,₱200 for adults; ₱150 for students/seniors.,,,,cultural,mountain,photography
Burnham Park,Benguet,Baguio City,16.412369,120.592970,Economy,₱0.00,Free,Free entry; boat rentals cost ₱100–₱150/hr.,,,,city,family-friendly,budget-friendly
Calaguas Islands,Camarines Norte,Vinzons,14.449833,122.916581,Mid-range,₱200.00,Permit / Conservation Fee,Municipal eco and island docking fee.,,,,beach,camping,water-activities
